adlib_id,female_13-17,female_18-24,female_25-34,female_35-44,female_45-54,female_55-64,female_65+,male_13-17,male_18-24,male_25-34,male_35-44,male_45-54,male_55-64,male_65+,unknown_13-17,unknown_18-24,unknown_25-34,unknown_35-44,unknown_45-54,unknown_55-64,unknown_65+,unknown_Unknown
741740079952227,,,0.197,0.135,0.084,0.024,,,,0.271,0.183,0.08,0.019,,,,0.005,0.003,0.001,0,,
1006367283544591,,,0.124,0.148,0.117,0.044,,,,0.206,0.202,0.12,0.036,,,,0.001,0.001,0.001,,,
2716174082015456,0,,0.339,0.132,0.071,0.02,,,,0.247,0.112,0.052,0.013,,0,,0.01,0.004,0.001,0,,
290116075922091,,,0.134,0.138,0.112,0.038,,0,,0.226,0.199,0.114,0.033,,0,,0.003,0.002,0.001,0,,
954604661759822,,,0.243,0.14,0.09,0.025,,,,0.261,0.144,0.074,0.018,,,,0.003,0.002,0.001,0,,
3052408901751618,,,0.164,0.151,0.107,0.035,,,,0.228,0.185,0.099,0.026,,,,0.002,0.002,0,0,,
653749128932594,,,0.234,0.104,0.051,0.013,,,,0.371,0.152,0.054,0.012,,,,0.006,0.002,0.001,0,,
4267581556693900,,0.031,0.06,0.082,0.05,0.032,0.046,,0.172,0.17,0.166,0.066,0.037,0.074,,0.001,0.003,0.004,0.001,0.001,0.004,
184867307088948,,,0.049,0.007,,,,,,0.837,0.102,,,,,,0.004,0.001,,,,
2666939846941216,,,0.887,0.113,,,,,,,,,,,,,,,,,,
421617746047388,,,,0.032,0.066,0.052,,,,,0.37,0.344,0.13,,,,,0.002,0.002,0.001,,
170773561869246,,,,,,,,,,0.905,0.095,,,,,,,,,,,
196801599216887,,,,0.233,0.182,0.057,,,,,0.33,0.16,0.034,,,,,0.003,0.001,0,,
1055738388577991,,,0.334,0.027,,,,,,0.589,0.047,,,,,,0.003,0,,,,
2989503854661315,,,,,,,,,,0.935,0.065,,,,,,,,,,,
573380963902938,,,0.945,0.055,,,,,,,,,,,,,,,,,,
905757426986148,,,,,,,,,,0.932,0.068,,,,,,,,,,,
978239273025663,,,0.888,0.112,,,,,,,,,,,,,,,,,,
136930911988114,,,,0.032,0.044,0.041,,,,,0.499,0.298,0.079,,,,,0.006,0.001,0,,
4570479313049792,,,0.023,0.003,,,,,,0.888,0.082,,,,,,0.004,0,,,,
917162902221552,,,,,,,,,,0.936,0.064,,,,,,,,,,,
890285841925306,,,,0.209,0.19,0.069,,,,,0.308,0.178,0.044,,,,,0.002,0.001,0,,
2062825703865760,,,0.927,0.073,,,,,,,,,,,,,,,,,,
280519653660991,,,0.327,0.029,,,,,,0.591,0.05,,,,,,0.002,0,,,,
401943591326332,,,,0.043,0.088,0.078,,,,,0.277,0.329,0.18,,,,,0.001,0.002,0.002,,
545046343245090,,,0.134,0.017,,,,,,0.746,0.096,,,,,,0.006,0.001,,,,
941295433262159,,,,,,,,,,0.905,0.095,,,,,,,,,,,
238719168212825,,,0.892,0.108,,,,,,,,,,,,,,,,,,
885669642090291,,,0.875,0.125,,,,,,,,,,,,,,,,,,
